ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Tusche, Bleistift, Blattgold auf leichtem, weißen Büttenpapier, Tusche, Bleistift und Blattgold auf Bütten",Zeichnung,um 1960,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Tinte auf leichtem, weißen Zeichenpapier auf grauem Karton, Tinte auf Zeichenpapier auf Karton (grau), koloriert (gelb)",Zeichnung,um 1953,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Kugelschreiber auf leichtem, chamoisfarbenen Werkdruckpapier",Zeichnung,um 1955,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Tinte, Wasserfarbe auf festem, weißen Zeichenkarton, Tinte, Wasserfarbe auf Zeichenkarton",Zeichnung,um 1959,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Wasserfarbe auf leichtem, weißen Zeichenpapier, oberer Rand perforiert, Wasserfarbe auf Papier",Zeichnung,1957,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Abklatsch einer Federzeichnung in Schwarz, Blattgoldimitat auf Karton (Strathmore)",Zeichnung,um 1955,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Kugelschreiber auf leichtem, chamoisfarbenen Werkdruckpapier, Kugelschreiber (schwarz) auf Papier",Zeichnung,um 1957,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Tinte, Blattgold auf festem, weißen Strathmore Karton, Tinte und Blattgold auf Zeichenkarton",Zeichnung,1957,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Tinte, Blattgoldimitat auf festem, chamoisfarbenen Zeichenkarton, Tinte und Blattgold auf Karton",Zeichnung,1957,,
[aus: Konvolut von 60 frühen Zeichnungen],"Warhol, Andy",NGHamburgerBahnhofMuseumfurGegenwart,"Tinte, Blattgold, Bleistift auf festem, chamoisfarbenen Zeichenkarton, Tinte, Bleistift auf Blattgold und Zeichenkarton",Zeichnung,1957,,
